"ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"R-HSA-166658","Complement cascade",36,-0.833943994920387,-3.65946288038857,1e-10,3.58702512725077e-09,2.44231679127056e-09,2456,"tags=94%, list=15%, signal=80%","3004/720/721/728/727/1191/712/975/1675/714/3080/713/5627/2147/1361/1369/710/716/722/81494/1370/715/732/1378/731/1401/10878/729/5199/730/735/8547/10584/2220"
"R-HSA-211859","Biological oxidations",142,-0.633307516248538,-3.65620264810964,1e-10,3.58702512725077e-09,2.44231679127056e-09,1823,"tags=52%, list=11%, signal=47%","131/1593/79799/653689/7360/9420/4051/9/66002/134147/13/23169/348158/100861540/6817/219/1551/1573/2327/285440/7366/23491/2938/217/1553/2328/1562/123876/130/27284/26/6822/2687/4143/389396/2954/10941/6783/7367/2944/133688/22977/8529/7365/124/2949/2939/64816/54988/124975/7364/5740/1559/92292/125/284541/1579/54657/126/1543/1582/4837/1557/1555/51302/1558/1571/127/1548/1549/10/1592/1576/1544"
"R-HSA-211945","Phase I - Functionalization of compounds",76,-0.679101323331913,-3.51436761114329,1e-10,3.58702512725077e-09,2.44231679127056e-09,1823,"tags=55%, list=11%, signal=49%","131/1593/9420/4051/66002/134147/13/100861540/219/1551/1573/2327/285440/23491/217/1553/2328/1562/130/26/8529/124/64816/5740/1559/125/284541/1579/126/1543/1582/1557/1555/51302/1558/1571/127/1548/1549/1592/1576/1544"
"R-HSA-211897","Cytochrome P450 - arranged by substrate type",45,-0.742659784849163,-3.44183745574735,1e-10,3.58702512725077e-09,2.44231679127056e-09,1810,"tags=62%, list=11%, signal=56%","1593/9420/4051/66002/100861540/1551/1573/285440/1553/1562/8529/64816/5740/1559/284541/1579/1543/1582/1557/1555/51302/1558/1571/1548/1549/1592/1576/1544"
"R-HSA-977606","Regulation of Complement cascade",30,-0.825196657392335,-3.4222848891539,1e-10,3.58702512725077e-09,2.44231679127056e-09,2449,"tags=93%, list=15%, signal=80%","720/721/728/727/1191/712/975/714/3080/713/5627/2147/1361/1369/710/716/722/81494/1370/715/732/1378/731/10878/729/5199/730/735"
"R-HSA-9748784","Drug ADME",73,-0.660058545216572,-3.3730423132686,1e-10,3.58702512725077e-09,2.44231679127056e-09,1627,"tags=56%, list=10%, signal=51%","9/11309/348158/6817/9429/7366/2938/5446/10599/123876/7498/10864/6822/2687/5444/389396/10941/6783/7367/2944/133688/7365/124/64078/2939/54988/124975/7364/590/1559/92292/3290/54657/5105/1557/1558/1571/6580/10/28234/1576"
"R-HSA-211981","Xenobiotics",21,-0.846932911222164,-3.18699987956758,1e-10,3.58702512725077e-09,2.44231679127056e-09,1406,"tags=76%, list=9%, signal=70%","100861540/1551/1573/1553/1562/64816/1559/1543/1557/1555/1558/1571/1548/1549/1576/1544"
"R-HSA-69620","Cell Cycle Checkpoints",215,0.567254332100595,3.1109610438858,1e-10,3.58702512725077e-09,2.44231679127056e-09,1525,"tags=34%, list=9%, signal=31%","220134/995/991/83540/11065/1029/1063/9133/2810/11004/983/699/701/147841/79019/8318/5347/890/10403/51512/990/9212/57405/81930/891/55143/1062/4998/63967/2491/151648/898/54821/23594/64105/11130/8367/151246/91687/641/4171/8365/1111/8317/993/64946/27338/9735/54908/4175/8339/5984/9134/8370/4173/79172/4172/8970/4174/84515/1763/3014/8341/83990/79980/8362/8348/5600/83695/8344/8345/8343/57060"
"R-HSA-9749641","Aspirin ADME",28,-0.753467556628678,-3.08665997160064,1.02565633468531e-10,3.58702512725077e-09,2.44231679127056e-09,1542,"tags=75%, list=9%, signal=68%","79799/11309/348158/7366/123876/10864/389396/10941/7367/133688/7365/54988/7364/590/1559/92292/54657/1557/1558/1571/1576"
"R-HSA-69618","Mitotic Spindle Checkpoint",80,0.645209215961805,3.05103376984532,1e-10,3.58702512725077e-09,2.44231679127056e-09,580,"tags=35%, list=4%, signal=34%","220134/991/83540/11065/1063/11004/699/701/147841/79019/5347/10403/9212/57405/81930/55143/1062/2491/151648/54821/64105/11130/151246/91687/64946/27338/9735/54908"
"R-HSA-141424","Amplification of signal from the kinetochores",68,0.669292342877672,3.04995321871544,1e-10,3.58702512725077e-09,2.44231679127056e-09,823,"tags=40%, list=5%, signal=38%","220134/991/83540/1063/11004/699/701/147841/79019/5347/10403/9212/57405/81930/55143/1062/2491/151648/54821/64105/11130/151246/91687/64946/9735/54908/79172"
"R-HSA-141444","Amplification  of signal from unattached  kinetochores via a MAD2  inhibitory signal",68,0.669292342877672,3.04995321871544,1e-10,3.58702512725077e-09,2.44231679127056e-09,823,"tags=40%, list=5%, signal=38%","220134/991/83540/1063/11004/699/701/147841/79019/5347/10403/9212/57405/81930/55143/1062/2491/151648/54821/64105/11130/151246/91687/64946/9735/54908/79172"
